owner,owner_url,display_name,slug,places,place_URL,comments,supports,other_interactions,other_interaction_types,first_place,last_place
divvy,http://data.shareabouts.org/api/v2/divvy,Divvy Bikes (new-data),divvy,3500,http://data.shareabouts.org/api/v2/divvy/datasets/divvy/places,4210,27436,0,[],,
nycdot,http://data.shareabouts.org/api/v2/nycdot,Vision Zero,vz,12714,http://data.shareabouts.org/api/v2/nycdot/datasets/vz/places,2847,8068,0,[],,
ourmiami,http://api.shareabouts.org/api/v2/ourmiami,OurMiami,ourmiami,264,http://api.shareabouts.org/api/v2/ourmiami/datasets/ourmiami/places,1424,7381,1,['like'],,
ourmiami,http://data.shareabouts.org/api/v2/ourmiami,Public Space Challenge 2014,psc2014,412,http://data.shareabouts.org/api/v2/ourmiami/datasets/psc2014/places,1316,6623,1056,['ratings'],,
divvy,http://data.shareabouts.org/api/v2/divvy,Divvy Bikes (all data),divvy-all-data,2137,http://data.shareabouts.org/api/v2/divvy/datasets/divvy-all-data/places,945,14116,0,[],,
jjones,http://api.shareabouts.org/api/v2/jjones,psbs,psbs,548,http://api.shareabouts.org/api/v2/jjones/datasets/psbs/places,687,6120,0,[],,
borotaxis,http://api.shareabouts.org/api/v2/borotaxis,Taxi Stands Map,taxistands,1171,http://api.shareabouts.org/api/v2/borotaxis/datasets/taxistands/places,682,2041,0,[],,
d39,http://api.shareabouts.org/api/v2/d39,d39,d39,275,http://api.shareabouts.org/api/v2/d39/datasets/d39/places,366,900,0,[],,
mjumbewu,http://data.shareabouts.org/api/v2/mjumbewu,Philly Bike Share,philly-bike-share,1431,http://data.shareabouts.org/api/v2/mjumbewu/datasets/philly-bike-share/places,345,0,0,[],,
marketmain,http://api.shareabouts.org/api/v2/marketmain,vhmp,vhmp,157,http://api.shareabouts.org/api/v2/marketmain/datasets/vhmp/places,247,286,0,[],,
dksassociates,http://api.shareabouts.org/api/v2/dksassociates,Lane County TSP,lane,229,http://api.shareabouts.org/api/v2/dksassociates/datasets/lane/places,151,135,0,[],,
nyrising,http://api.shareabouts.org/api/v2/nyrising,bp,bp,62,http://api.shareabouts.org/api/v2/nyrising/datasets/bp/places,151,0,0,[],,
jjones,http://api.shareabouts.org/api/v2/jjones,CoGo,cogo,241,http://api.shareabouts.org/api/v2/jjones/datasets/cogo/places,145,982,0,[],,
jjones,http://api.shareabouts.org/api/v2/jjones,Newport Beach,newport,182,http://api.shareabouts.org/api/v2/jjones/datasets/newport/places,145,210,0,[],,
demo-user,http://api.shareabouts.org/api/v2/demo-user,Demo Data,demo-data,493,http://api.shareabouts.org/api/v2/demo-user/datasets/demo-data/places,109,267,17,"['ratings', 'commitments']",,
georgiabullen,http://data.shareabouts.org/api/v2/georgiabullen,mountrainier,mountrainier,81,http://data.shareabouts.org/api/v2/georgiabullen/datasets/mountrainier/places,77,49,0,[],,
jj0hns0n,http://api.shareabouts.org/api/v2/jj0hns0n,San Diego CPG FY14 CIP Projects,sdcipcpg,193,http://api.shareabouts.org/api/v2/jj0hns0n/datasets/sdcipcpg/places,76,449,0,[],,
weho,http://data.shareabouts.org/api/v2/weho,weho,weho,206,http://data.shareabouts.org/api/v2/weho/datasets/weho/places,76,382,0,[],,
jjones,http://api.shareabouts.org/api/v2/jjones,Walk Bike Columbia,columbia,173,http://api.shareabouts.org/api/v2/jjones/datasets/columbia/places,76,336,0,[],,
jlally,http://data.shareabouts.org/api/v2/jlally,mansfield,mansfield,118,http://data.shareabouts.org/api/v2/jlally/datasets/mansfield/places,75,76,0,[],,
