user,total_datasets,places,comments,dataset_names
jacksonheights,1,43,50,['jacksonheights']
dksassociates,9,248,292,"['clatsop', 'dkstest', 'test', 'cottagegrove', 'newberg', 'lane', 'dundee', 'lanecountytsp', 'columbia']"
lvartani,1,0,0,['tbilisi']
urbansocial,1,155,0,['urbansocial']
codeformiami,1,9,0,['dwmb']
markabraham,1,234,0,['datahaven']
weho,1,206,458,['weho']
d8,1,58,18,['d8']
d38,1,34,13,['d38']
d39,2,292,1266,"['d39-shortlist-test', 'd39']"
d32,1,26,4,['d32']
d33,1,66,160,['d33']
d31,1,19,17,['d31']
Eskilstuna,2,300,1040,"['tyck_tiller', 'stadsparken']"
rdiana,1,0,0,['rdiana-data']
chicagobikes,2,196,441,"['chicago-bike-parking', 'chicago-abandoned-bikes']"
jj0hns0n,4,993,528,"['sdcipcpg', 'realconnect-test', 'sdcipcpg-2015', 'sdcipcpg-2014']"
biketotransit,1,316,473,['biketotransit']
steveleathers,2,21,4,"['migshare', 'joy']"
borotaxis,2,1171,2723,"['taxistands', 'test']"
atogle,1,0,1,['test']
columbia1,7,191,6,"['GillianData', 'KazData', 'EllisData', 'rise', 'BGData', 'CarolineData', 'AmyData']"
cmlander,1,2,0,['albemarle-survey']
gtracy,2,22,10,"['littlelibrary608', 'madisonstartups']"
bicycle-coalition,1,0,0,['rail-stations']
publicinnovation,2,5,7,"['sacramento', 'streetfarm']"
UniversityBikeCollective,2,77,130,"['ForSurvey', 'test']"
d45,1,40,28,['d45']
d44,1,13,6,['d44']
kevinvanlierop,1,0,0,['kevinvanlierop-data']
fhebbert,1,0,0,['test']
nyrising,12,33775,325,"['lmtemp', 'rh', 're', 'rw', 'hb-full', 'rhtest', 'bp', 'rh4', 'rh3', 'rh2', 'hb', 'lm']"
smitaki,1,1,0,['cmom']
planbox-dev,18,16,0,"['atogle-map', 'aogle123-project-123', 'mpoe-undefined', 'atogle-shareabouts2', 'atogle-jlksdjkasdfkjfds', 'visionzero-vision-zero', 'test-slug2', 'test-slug3', 'test-slug5', 'test-slug6', 'atogle-test-again', 'mpoe-title', 'mpoe-my-title', 'atogle-hi-hi', 'test-slug4', 'atogle-sharebouts', 'mpoe-my-new-test-project', 'test-slug']"
dvandemark,1,6,0,['suncycles']
iturgeon,1,2,2,['letsrecycle']
nhamdaoui,1,3,1,['nabila-data']
rex,1,0,0,['louisville']
cmassa,1,1,0,['recoverymap']
divvy,2,5637,46707,"['divvy-all-data', 'divvy']"
chekpeds,3,155,9,"['benches', 'lessphonebooths', 'intersections']"
afraint,6,491,125,"['crashdata_NYC', 'twincities', 'nyc_dev_data', 'new_york_data', 'crash_testing', 'overlays']"
gmccollam,1,7,7,['nolabikeshare']
peoplepower,1,0,0,['peoplepower-data']
walkersq,1,0,0,['walkersq']
jjones,17,2213,10311,"['version1', 'marion', 'moragard', 'midsouth2', 'nwarkansas', 'cogo', 'moraga', 'columbia', 'stlouis', 'newport', 'wfubikeped', 'goldsboro', 'richmond-bike', 'ncstatebikes', 'psbs', 'walkstudy', 'evansville']"
jon,1,3,1,['unlitterdelphia-dev']
demo-user,4,593,424,"['cb7-demo', 'bigredbutton', 'ui-refresh-testing', 'demo-data']"
metro,1,0,0,['bike-lockers']
admin,4,2532,5,"['test', 'dev-chicago-bike-parking', 'vz-dev', 'dev-chicago-abandoned-bikes']"
georgiabullen,3,88,126,"['coronaplaza', 'mountrainier', 'civichacking_data']"
