owner,owner_url,display_name,slug,places,place_URL,comments,supports,other_interactions,other_interaction_types,first_place,last_place
openplans,http://api.shareabouts.org/api/v2/openplans,NY Rising - Howard Beach (Dev),devnyrhb,6511,http://api.shareabouts.org/api/v2/openplans/datasets/devnyrhb/places,20,0,0,[],2013-10-24,2013-11-09
openplans,http://api.shareabouts.org/api/v2/openplans,Mobile Survey Client (Surveyor) Test Data,survey-test,3,http://api.shareabouts.org/api/v2/openplans/datasets/survey-test/places,0,0,0,[],2013-04-04,2013-04-04
historiclouisville,http://api.shareabouts.org/api/v2/historiclouisville,Louisville’s Historic Assets,historiclouisville,30,http://api.shareabouts.org/api/v2/historiclouisville/datasets/historiclouisville/places,0,18,17,['memories'],2012-09-21,2013-09-17
danielmichaelwolf,http://api.shareabouts.org/api/v2/danielmichaelwolf,UCD bike racks,UCD-bike-racks,4,http://api.shareabouts.org/api/v2/danielmichaelwolf/datasets/UCD-bike-racks/places,0,0,0,[],2013-08-07,2013-08-07
Eskilstuna,http://api.shareabouts.org/api/v2/Eskilstuna,stadsparken,stadsparken,47,http://api.shareabouts.org/api/v2/Eskilstuna/datasets/stadsparken/places,0,11,0,[],2013-09-26,2013-10-16
jjones,http://api.shareabouts.org/api/v2/jjones,St. Louis,stlouis,357,http://api.shareabouts.org/api/v2/jjones/datasets/stlouis/places,55,1105,0,[],2014-04-29,2014-09-05
iturgeon,http://api.shareabouts.org/api/v2/iturgeon,Orlando Recycle,letsrecycle,2,http://api.shareabouts.org/api/v2/iturgeon/datasets/letsrecycle/places,0,2,0,[],2013-06-01,2013-06-02
openplans,http://api.shareabouts.org/api/v2/openplans,Community Map,community-map,95,http://api.shareabouts.org/api/v2/openplans/datasets/community-map/places,8,11,0,[],2012-09-20,2014-03-16
d44,http://api.shareabouts.org/api/v2/d44,d44,d44,13,http://api.shareabouts.org/api/v2/d44/datasets/d44/places,3,3,0,[],2013-10-11,2013-11-09
d32,http://api.shareabouts.org/api/v2/d32,d32,d32,26,http://api.shareabouts.org/api/v2/d32/datasets/d32/places,0,4,0,[],2013-10-23,2013-10-29
